0.27749999999999997,EOLID:16278
0.27749999999999997,USNM 12814
0.27749999999999997,IUCN 2012
0.27749999999999997,EOLID:13220451
0.27749999999999997,CMD 493
0.27749999999999997,MCZ 76047
0.27749999999999997,EOLID:212579
0.27749999999999997,EOLID:4500865
0.27749999999999997,EOLID:20535078
0.27749999999999997,FMNH 70722
0.27749999999999997,STERC l 1
0.27749999999999997,EOLID:24435
0.27749999999999997,AMNH LIBRARY 100100574
0.27749999999999997,USNM 313162
0.27749999999999997,EOLID:225888
0.27749999999999997,CXLI 1
0.27749999999999997,USNM 1201
0.27749999999999997,INDIAN OCEAN 283
0.27749999999999997,MCZ 378
0.27749999999999997,FMNH Me 2118
0.27749999999999997,DUVAUCEL 2
0.27749999999999997,USNM 579394
0.27749999999999997,EOLID:59072
0.27749999999999997,EBL 1
0.27749999999999997,EOLID:9609
0.27749999999999997,SIO 84
0.27749999999999997,USNM 683533
0.27749999999999997,CBERDA 3
0.27749999999999997,EOLID:223458
0.27749999999999997,IJIIII 1
0.27749999999999997,EOLID:39268
0.27749999999999997,USNM 10865
0.27749999999999997,USNM PAL 60085
0.27749999999999997,EOLID:5229798
0.27749999999999997,STELLATA 2
0.27749999999999997,MVZ 172412
0.27749999999999997,EOLID:217114
0.27749999999999997,EOLID:78291
0.27749999999999997,EOLID:1012323
0.27749999999999997,FMNH 23969
0.27749999999999997,USNM PAL 57720
0.27749999999999997,USNM 78767
0.27749999999999997,FMNH 25112
0.27749999999999997,EOLID:1057027
0.27749999999999997,EOLID:35548
0.27749999999999997,UALVP 47273
0.27749999999999997,EOLID:4784226
0.27749999999999997,EOLID:1048844
0.27749999999999997,EOLID:1156860
0.27749999999999997,ENA 3
0.27749999999999997,USNM 170979
0.27749999999999997,EOLID:39451
0.27749999999999997,MPL 85
0.27749999999999997,USNM PAL 57493
0.27749999999999997,LSUMZ 27374
0.27749999999999997,EOLID:51263
0.27749999999999997,EOLID:27198
0.27749999999999997,USNM 314615
0.27749999999999997,USNM PAL 60081
0.27749999999999997,PETERS 1879
0.27749999999999997,MCZ 100143
0.27749999999999997,EOLID:225882
0.27749999999999997,EOLID:994199
0.27749999999999997,EOLID:1019434
0.27749999999999997,EOLID:215474
0.27749999999999997,MCZ 76179
0.27749999999999997,EOLID:35944
0.27749999999999997,USNM 743733
0.27749999999999997,MCZ 180342
0.27749999999999997,DPAG 2008
0.27749999999999997,USNM 32728
0.27749999999999997,EOLID:356411
0.27749999999999997,EOLID:208519
0.27749999999999997,USNM 764329
0.27749999999999997,EOLID:23745
0.27749999999999997,EOLID:795377
0.27749999999999997,USNM 108911
0.27749999999999997,EOLID:4563972
0.27749999999999997,EOLID:13736
0.27749999999999997,NWA 869
0.27749999999999997,EOLID:84552
0.27749999999999997,BMNH 1913.10.29.9
0.27749999999999997,EOLID:11117222
0.27749999999999997,EOLID:328575
0.27749999999999997,EOLID:4317582
0.27749999999999997,DUKAL 4
0.27749999999999997,MCZ 76150
0.27749999999999997,EOLID:74345
0.27749999999999997,FMNH 65394
0.27749999999999997,USNM 85697
0.27749999999999997,FARGOA BARTSCHI 13
0.27749999999999997,EOLID:92536
0.27749999999999997,III with 100
0.27749999999999997,ARIUS ACUTIROSTRIS 2.
0.27749999999999997,EOLID:791097
0.27749999999999997,AMNH 1662
0.27749999999999997,PLIOCENE IBISES 63
0.27749999999999997,USNM PAL 60082
0.27749999999999997,FMNH 34718
0.27749999999999997,EOLID:208305
0.27749999999999997,BOETTGER 1886
0.27749999999999997,EOLID:15610
0.27749999999999997,FMNH PF 46204
0.27749999999999997,AMNH 6210
0.27749999999999997,AMNH 217346
0.27749999999999997,USNM 43463
0.27749999999999997,AMNH 1736
0.27749999999999997,EOLID:794901
0.27749999999999997,USNM 61928
0.27749999999999997,MICRURA 4
0.27749999999999997,CMD 365
0.27749999999999997,EOLID:217983
0.27749999999999997,AMNH 46596
0.27749999999999997,FMNH PE 60839
0.27749999999999997,CORNUTUS 5.
0.27749999999999997,SCHULTZ 31
0.27749999999999997,EOLID:209174
0.27749999999999997,EOLID:223193
0.27749999999999997,FMNH PE 60826
0.27749999999999997,AMNH 2240
0.27749999999999997,MCZ 180405
0.27749999999999997,UALVP 31
0.27749999999999997,USNM 46722
0.27749999999999997,FMNH 57666
0.27749999999999997,EOLID:24993
0.27749999999999997,ATYS MACANDREWIf 135
0.27749999999999997,AFGE 2015.
0.27749999999999997,CIVORA 5
0.27749999999999997,USNM 60259
0.27749999999999997,USNM 359502
0.27749999999999997,EOLID:100769
0.27749999999999997,EOLID:11079232
0.27749999999999997,AMNH 5434
0.27749999999999997,MOR 555
0.27749999999999997,EOLID:27300
0.27749999999999997,USNM 87610
0.27749999999999997,MCZ 342221
0.27749999999999997,EOLID:4752271
0.27749999999999997,EOLID:4829486
0.27749999999999997,SCH 1
0.27749999999999997,EOLID:13113074
0.27749999999999997,MCZ 100109
0.27749999999999997,EOLID:344835
0.27749999999999997,ATF 58
0.27749999999999997,USNM 456242
0.27749999999999997,AMNH 270411
0.27749999999999997,USNM 1204759
0.27749999999999997,EOLID:1279493
0.27749999999999997,LIDA 4
0.27749999999999997,USNM 108966
0.27749999999999997,USNM 91690
0.27749999999999997,GRAY 1831
0.27749999999999997,EOLID:38589
0.27749999999999997,USNM 94268
0.27749999999999997,USNM 181194
0.27749999999999997,HSDB 3126
0.27749999999999997,EOLID:6112201
0.27749999999999997,EOLID:1055216
0.27749999999999997,USNM 6527
0.27749999999999997,USNM 216760
0.27749999999999997,EOLID:10719983
0.27749999999999997,LACM 154560
0.27749999999999997,EOLID:39467
0.27749999999999997,USNM 558413
0.27749999999999997,FRENATUS 5
0.27749999999999997,EOLID:2579114
0.27749999999999997,IXDKX 351
0.27749999999999997,AMNH 23175
0.27749999999999997,USNM 579873
0.27749999999999997,EOLID:5004067
0.27749999999999997,EOLID:19130
0.27749999999999997,MCZ 182242
0.27749999999999997,EOLID:27020
0.27749999999999997,USNM 573682
